input_node,neighbor_node,weight
59,1730,0.4
59,1743,0.2
60,1723,0.3333333333333333
60,1732,0.3333333333333333
60,1797,0.3333333333333333
61,1718,0.2857142857142857
61,1723,0.14285714285714285
61,1725,0.2857142857142857
61,1732,0.14285714285714285
61,1741,0.14285714285714285
62,1723,0.25
62,1761,0.25
62,1824,0.25
62,1844,0.25
63,1695,0.14285714285714285
63,1698,0.14285714285714285
63,1702,0.14285714285714285
63,1713,0.14285714285714285
63,1719,0.14285714285714285
63,1727,0.14285714285714285
63,1828,0.14285714285714285
64,1695,0.125
64,1713,0.125
64,1716,0.125
64,1725,0.125
64,1736,0.125
64,1818,0.125
64,1830,0.125
64,1831,0.125
65,1695,0.25
65,1698,0.25
65,1812,0.25
65,1852,0.25
66,1695,0.1
66,1698,0.1
66,1703,0.3
66,1713,0.1
66,1809,0.1
66,1816,0.3
67,1695,0.5
67,1698,0.5
68,1695,0.16666666666666666
68,1697,0.3333333333333333
68,1698,0.16666666666666666
68,1809,0.16666666666666666
68,1818,0.16666666666666666
69,1723,0.25
69,1732,0.25
69,1797,0.25
69,1827,0.25
70,1695,0.2
70,1725,0.2
70,1776,0.2
70,1802,0.2
70,1807,0.2
71,1695,0.045454545454545456
71,1698,0.045454545454545456
71,1714,0.18181818181818182
71,1725,0.18181818181818182
71,1740,0.18181818181818182
71,1752,0.18181818181818182
71,1827,0.18181818181818182
72,1695,0.05
72,1701,0.25
72,1715,0.2
72,1736,0.05
72,1803,0.2
72,1812,0.25
73,1695,0.14285714285714285
73,1698,0.14285714285714285
73,1730,0.14285714285714285
73,1741,0.14285714285714285
73,1759,0.14285714285714285
73,1783,0.14285714285714285
73,1785,0.14285714285714285
74,1695,0.0625
74,1698,0.0625
74,1699,0.0625
74,1705,0.0625
74,1707,0.0625
74,1715,0.0625
74,1727,0.0625
74,1728,0.0625
74,1734,0.0625
74,1746,0.0625
74,1749,0.0625
74,1764,0.0625
74,1785,0.0625
74,1808,0.0625
74,1843,0.0625
74,1851,0.0625
75,1695,0.038461538461538464
75,1696,0.038461538461538464
75,1698,0.038461538461538464
75,1701,0.038461538461538464
75,1708,0.07692307692307693
75,1728,0.07692307692307693
75,1734,0.038461538461538464
75,1748,0.038461538461538464
75,1757,0.038461538461538464
75,1764,0.038461538461538464
75,1773,0.038461538461538464
75,1779,0.038461538461538464
75,1789,0.07692307692307693
75,1791,0.07692307692307693
75,1808,0.038461538461538464
75,1811,0.038461538461538464
75,1828,0.038461538461538464
75,1835,0.07692307692307693
75,1840,0.07692307692307693
75,1848,0.038461538461538464
76,1695,0.037037037037037035
76,1696,0.037037037037037035
76,1697,0.1111111111111111
76,1713,0.037037037037037035
76,1724,0.037037037037037035
76,1725,0.07407407407407407
76,1736,0.037037037037037035
76,1738,0.1111111111111111
76,1745,0.1111111111111111
76,1750,0.1111111111111111
76,1781,0.1111111111111111
76,1786,0.07407407407407407
76,1823,0.1111111111111111
77,1723,0.2
77,1732,0.2
77,1746,0.2
77,1767,0.2
77,1844,0.2
78,1696,0.07317073170731707
78,1697,0.04878048780487805
78,1715,0.06504065040650407
78,1723,0.008130081300813009
78,1724,0.032520325203252036
78,1728,0.04065040650406504
78,1731,0.07317073170731707
78,1735,0.016260162601626018
78,1738,0.04878048780487805
78,1740,0.0975609756097561
78,1744,0.04065040650406504
78,1746,0.04065040650406504
78,1749,0.06504065040650407
78,1751,0.016260162601626018
78,1758,0.04065040650406504
78,1760,0.016260162601626018
78,1761,0.08943089430894309
78,1779,0.016260162601626018
78,1783,0.024390243902439025
78,1789,0.08943089430894309
78,1799,0.056910569105691054
79,1695,0.010101010101010102
79,1705,0.050505050505050504
79,1715,0.06060606060606061
79,1728,0.10101010101010101
79,1749,0.06060606060606061
79,1755,0.10101010101010101
79,1758,0.10101010101010101
79,1760,0.0707070707070707
79,1768,0.10101010101010101
79,1782,0.06060606060606061
79,1785,0.10101010101010101
79,1788,0.010101010101010102
79,1803,0.0707070707070707
79,1840,0.10101010101010101
80,1701,0.16666666666666666
80,1715,0.16666666666666666
80,1723,0.16666666666666666
80,1732,0.16666666666666666
80,1733,0.16666666666666666
80,1735,0.16666666666666666
81,1695,0.034482758620689655
81,1699,0.10344827586206896
81,1716,0.10344827586206896
81,1737,0.10344827586206896
81,1757,0.10344827586206896
81,1764,0.10344827586206896
81,1765,0.10344827586206896
81,1788,0.034482758620689655
81,1843,0.10344827586206896
81,1853,0.10344827586206896
81,1855,0.10344827586206896
82,1695,0.0196078431372549
82,1696,0.0392156862745098
82,1697,0.0784313725490196
82,1698,0.0196078431372549
82,1699,0.0392156862745098
82,1701,0.0784313725490196
82,1706,0.058823529411764705
82,1707,0.0392156862745098
82,1711,0.0196078431372549
82,1727,0.0392156862745098
82,1728,0.058823529411764705
82,1734,0.0784313725490196
82,1738,0.0392156862745098
82,1745,0.0784313725490196
82,1757,0.058823529411764705
82,1761,0.0392156862745098
82,1773,0.0392156862745098
82,1779,0.0784313725490196
82,1786,0.0392156862745098
82,1789,0.0196078431372549
82,1828,0.0196078431372549
82,1837,0.0196078431372549
83,1695,0.030303030303030304
83,1696,0.09090909090909091
83,1698,0.030303030303030304
83,1707,0.06060606060606061
83,1708,0.12121212121212122
83,1709,0.15151515151515152
83,1740,0.030303030303030304
83,1756,0.06060606060606061
83,1766,0.12121212121212122
83,1779,0.030303030303030304
83,1786,0.06060606060606061
83,1790,0.06060606060606061
83,1792,0.12121212121212122
83,1809,0.030303030303030304
84,1705,0.08
84,1706,0.04
84,1707,0.08
84,1710,0.08
84,1715,0.08
84,1722,0.08
84,1723,0.04
84,1732,0.04
84,1747,0.08
84,1749,0.08
84,1767,0.08
84,1796,0.08
84,1803,0.08
84,1830,0.08
85,1695,0.037037037037037035
85,1698,0.037037037037037035
85,1705,0.037037037037037035
85,1706,0.037037037037037035
85,1714,0.07407407407407407
85,1750,0.14814814814814814
85,1802,0.18518518518518517
85,1803,0.037037037037037035
85,1807,0.18518518518518517
85,1809,0.037037037037037035
85,1812,0.18518518518518517
86,1699,0.16666666666666666
86,1705,0.16666666666666666
86,1707,0.16666666666666666
86,1710,0.16666666666666666
86,1723,0.05555555555555555
86,1732,0.05555555555555555
86,1733,0.05555555555555555
86,1746,0.16666666666666666
87,1695,0.015625
87,1696,0.03125
87,1705,0.0625
87,1707,0.046875
87,1709,0.078125
87,1716,0.078125
87,1722,0.0625
87,1735,0.046875
